iau_id1,eng_name,orig_name,foundedyr,yrclosed,private01,divisions,phd_granting,specialized,countrycode,latitude,longitude
IAU-026927-1,Nanchang University College Of Science And Technology,Nanchang Daxue Keji Jishu Xueyuan,2001,,1,4,0,0,CHN,28.6744,115.95282
IAU-026928-1,Nanchang University Gongqing College,Nanchang Daxue Gongqing Xueyuan,1985,,1,7,0,0,CHN,29.2299841,115.8083221
IAU-026930-1,"Institute Of Technology, East China Jiao Tong University",Huadong Jiaotong Daxue Ligong Xueyuan,2001,,1,6,0,1,CHN,31.0252201,121.4337784
IAU-026931-1,"East China Institute Of Technology, Yangtze River College",Donghua Ligong Daxue Changjiang Xueyuan,2002,,1,5,0,1,CHN,25.71037,119.33443
IAU-026932-1,College Of Applied Science Jiangxi University Of Science And Technology,Jiangxi Ligong Daxue Yingyong Kexue Xueyuan,2001,,1,5,0,0,CHN,25.853708,114.931526
IAU-026933-1,College Of Technology And Art Jingdezhen Ceramic Institute,Jingdezhen Taoci Daxue Keji Yishu Xueyuan,2001,,1,4,0,1,CHN,29.292926,117.250338
IAU-026934-1,Nanchang Business College Of Jxau,Jiangxi Nongye Daxue Nanchang Xueyuan,2001,,1,8,0,0,CHN,28.762772,115.832826
IAU-026935-1,Science And Technology College Of Jiangxi University Of Traditional Chinese Medicine,Jiangxi Zhongyiyao Daxue Keji Xueyuan,2001,,1,5,0,0,CHN,28.6784101,115.7465026
IAU-026936-1,Jiangxi Normal University Science And Technology College,Jiangxi Shifan Daxue Kexue Jishu Xueyuan,2001,,1,9,0,0,CHN,43.7734535,-79.5018684
IAU-026937-1,Ganna Shifan Daxue Keji Xueyuan,Gannan Shifan Daxue Keji Xueyuan,2003,,1,7,0,0,CHN,43.7734535,-79.5018684
IAU-026938-1,College Of Modern Economics & Management Jufe,Jiangxi Caijing Daxue Xiandai Jingji Guanli Xueyuan,2001,,1,6,0,0,CHN,28.739926,115.853957
IAU-026941-1,Business College Of Shanxi University,Shanxi Daxue Shangwu Xueyuan,2001,,1,11,0,0,CHN,37.743427,112.667022
IAU-026942-1,Polytechnic Institute Taiyuan University Of Technology,Taiyuan Ligong Daxue Xiandai Keji Xueyuan,2001,,1,15,0,1,CHN,37.8538181,112.5231936
IAU-026943-1,"College Of Information, Shanxi Agricultural University",Shanxi Nongye Daxue Xinxi Xueyuan,2002,,1,9,0,0,CHN,37.424442,112.578439
IAU-026944-1,Modern College Of Humanities Of Shanxi Normal University,Shanxi Shifan Daxue Xiandai Wenli Xueyuan,2002,,1,0,0,0,CHN,34.157596,108.893408
IAU-026945-1,Taiyuan University Of Science And Technology,Taiyuan Keji Daxue Huake Xueyuan,2002,,1,8,0,0,CHN,37.8689179,112.4904774
IAU-026946-1,Jinci College Of Shanxi Medical University,Shanxi Yike Daxue Jinci Xueyuan,2002,,1,4,0,0,CHN,37.742848,112.740736
IAU-026947-1,Shanxi University Of Finance & Economics Huashang College,Shanxi Caijing Daxue Huashang Xueyuan,2002,,1,5,0,0,CHN,37.839765,112.554941
IAU-002840-1,City University Of Hong Kong,(CityU),1984,,0,59,1,0,HKG,22.3366793,114.1724234
IAU-007557-1,Hong Kong Baptist University,(HKBU),1956,,0,67,1,0,HKG,22.3408088,114.1798757
IAU-007560-1,Hong Kong Shue Yan University,Hong Kong Shue Yan University,1971,,1,22,1,0,HKG,22.286178,114.197825
IAU-010994-1,Lingnan University.,(LU),1888,,0,13,1,0,HKG,22.4109705,113.9830974
IAU-016414-1,The Chinese University Of Hong Kong,(CUHK),1963,,0,8,1,0,HKG,22.419625,114.2067606
IAU-016464-1,The Hong Kong Academy For Performing Arts,(HKAPA),1984,,0,8,0,1,HKG,22.2801253,114.170131
IAU-016465-1,The Hong Kong University Of Education,(HKIEd),1994,,0,18,1,0,HKG,22.467111,114.192998
IAU-016466-1,The Hong Kong Polytechnic University,(PolyU),1937,,1,8,1,0,HKG,22.3042407,114.1798118
IAU-016467-1,The Hong Kong University Of Science And Technology,(HKUST),1988,,0,80,1,0,HKG,22.3363998,114.2654655
IAU-016508-1,The Open University Of Hong Kong,(OUHK),1989,,0,6,1,0,HKG,22.3163552,114.1801817
IAU-016576-1,The University Of Hong Kong,(HKU),1911,,0,110,1,0,HKG,22.2830891,114.1365621
IAU-025421-1,Tung Wah College,(TWC),2010,,1,4,0,0,HKG,22.312505,114.1757508
IAU-025424-1,Hong Kong With Yan College Of Higher Education,Hong Kong Nang Yan College of Higher Education,1969,,1,7,0,0,HKG,22.3284015,114.159987
IAU-025425-1,Hang Seng Management College,Hang Seng Management College,2010,,1,0,0,0,HKG,22.3795293,114.2114767
IAU-002467-1,University Centre Of Rural Welfare,Centro Universitario de Bienestar Rural (CUBR),1988,,1,3,0,0,COL,3.2163912,-76.433666
IAU-002902-1,College Of Advanced Administration Studies,Colegio de Estudios Superiores de Administraci??n (CESA),1975,,1,4,0,0,COL,4.6212638,-74.0663524
IAU-002944-1,Higher College Of Antioquia,Colegio Mayor de Antioquia,1945,,0,4,0,0,COL,6.2732224,-75.5920184
IAU-002947-1,Higher College Of Cauca,Colegio Mayor del Cauca (COLMAYOR),1967,,0,4,0,0,COL,2.4409944,-76.6048862
IAU-002951-1,Unicoc University Colleges Of Colombia,Instituci??n Universitaria Colegios de Colombia (UNICOC),1975,,1,6,0,0,COL,4.8468858,-74.0294205
IAU-003197-1,Higher College Of Music Of Tolima,Conservatorio del Tolima,1909,,0,2,0,1,COL,4.4436252,-75.2443163
IAU-003253-1,Colombian Colombian University Institution,Colegiatura Colombiana,1989,,1,3,0,0,COL,6.2089498,-75.5458869
IAU-003256-1,Cenda University Corporation,Corporaci??n Universitaria CENDA (CENDA),2011,,1,7,0,0,COL,4.624045,-74.068987
IAU-003264-1,Corporate School Of Arts And Letters,Corporaci??n Escuela de Artes y Letras,1969,,1,8,0,1,COL,40.8080524,-73.9635386
IAU-003266-1,Corporate Technological School Of The East,Corporaci??n Escuela Tecnol??gica del Oriente,1992,,1,5,0,1,COL,7.1157353,-73.1298564
IAU-003282-1,Colombian Technological-Industrial Corporation,Corporaci??n Tecnol??gica Industrial Colombiana (TEINCO),1987,,1,5,0,0,COL,4.6509464,-74.0641372
IAU-003284-1,Unified National Corporation Of Higher Education,Corporaci??n Unificada Nacional de Educaci??n Superior (CUN),1983,,1,7,0,0,COL,4.5984844,-74.0726112
IAU-003286-1,Adventist University Corporation,Corporaci??n Universitaria Adventista (UNAC),1937,,1,5,0,0,COL,6.2408691,-75.6093514
IAU-003287-1,American University Corporation,Corporaci??n Universitaria Americana (Coruniamericana),2006,,1,4,0,0,COL,10.991339,-74.8070884
IAU-003288-1,Autonomous University Corporation Of Nari??O,Corporaci??n Universitaria Aut??noma de Nari??o (AUNAR),1982,,1,4,0,0,COL,1.2179028,-77.2789975
IAU-003289-1,Autonomous University Corporation Of The Cauca Region,Corporaci??n Universitaria Aut??noma del Cauca,1979,,1,5,0,0,COL,2.4408241,-76.60456
IAU-003290-1,Advanced Centre University Corporation,Corporaci??n Universitaria Centro Superior (CUCES UNICUCES),1964,,1,2,0,0,COL,3.4583611,-76.5344544
IAU-003291-1,University Corporation Of Science And Development,Corporaci??n Universitaria de Ciencia y Desarrollo (UNICIENCIA),1993,,1,3,0,0,COL,4.6616975,-74.057976
IAU-003292-1,"University Corporation Of Business Studies, Education And Health","Corporaci??n Universitaria de Ciencias Empresariales, Educaci??n y Salud (CORSALUD)",1993,,1,3,0,0,COL,40.8182245,-73.9597336
IAU-003293-1,Ideas University Corporation Of Colombia,Corporaci??n Universitaria de Colombia IDEAS (IDEAS),1984,,1,3,0,0,COL,6.1698789,-75.6073455
IAU-003294-1,University Corporation Of Research And Development,Corporaci??n Universitaria de Investigaci??n y Desarrollo UDI,1982,,1,6,0,0,COL,43.658383,-79.3871905
IAU-003295-1,University Corporation Of The Coast,Corporaci??n Universidad de la Costa (CUC),1969,,1,8,1,0,COL,10.9951608,-74.7897818
