iau_id1,countrycode,latitude,longitude
IAU-014123-1,AUS,-37.8084139,144.9640061
IAU-015610-1,AUS,-28.8193845,153.2994738
IAU-016022-1,AUS,-37.8221504,145.0389546
IAU-016398-1,AUS,-35.2776999,149.118527
IAU-016555-1,AUS,-34.920603,138.6062277
IAU-016587-1,AUS,-32.8927718,151.7041775
IAU-016591-1,AUS,-27.4975028,153.0136905
IAU-016619-1,AUS,-31.9789061,115.8180721
IAU-020031-1,AUS,-37.567452,143.8527408
IAU-020101-1,AUS,-35.23843,149.0842616
IAU-020295-1,AUS,-37.7983459,144.960974
IAU-020329-1,AUS,-30.4899535,151.6410199
IAU-020335-1,AUS,-33.917347,151.2312675
IAU-020360-1,AUS,-32.0560925,115.7434254
IAU-020496-1,AUS,-34.8899849,138.5589948
IAU-020513-1,AUS,-27.602411,151.9312604
IAU-020530-1,AUS,-33.8885748,151.1873494
IAU-020535-2,AUS,-42.9041118,147.3247504
IAU-020540-1,AUS,-33.8832376,151.2004942
IAU-020584-1,AUS,-26.7169935,153.0658032
IAU-020636-4,AUS,-33.7506759,150.687674
IAU-020653-1,AUS,-34.4053088,150.8771962
IAU-020868-1,AUS,-37.7937398,144.8985171
IAU-022104-1,AUS,-34.943625,138.6279111
IAU-022105-1,AUS,-33.8149605,151.0087327
IAU-022108-1,AUS,-33.894571,151.2284438
IAU-022161-1,AUS,-33.8750014,151.206987
IAU-022164-1,AUS,-27.531949,153.115656
IAU-022165-1,AUS,-33.8093328,151.2913645
IAU-022166-1,AUS,-37.8102902,144.972168
IAU-022167-1,AUS,-37.8760912,145.0866137
IAU-022168-1,AUS,-33.8041259,151.2943981
IAU-022172-1,AUS,-37.8263223,145.132555
IAU-022173-1,AUS,-37.7986966,144.9759225
IAU-022174-1,AUS,-37.81022,144.9609429
IAU-022175-1,AUS,43.7840347,-79.2331848
IAU-022176-1,AUS,-33.8797743,151.2186055
IAU-022177-1,AUS,-33.8756175,151.2093456
IAU-022180-1,AUS,-33.8501313,151.0581555
IAU-022181-1,AUS,-33.7845512,151.131701
IAU-022183-1,AUS,-33.8602455,151.2081365
IAU-022184-1,AUS,-37.8447752,145.0449222
IAU-022185-1,AUS,-33.8218649,151.194708
IAU-022187-1,AUS,-33.8669281,151.2038152
IAU-022188-1,AUS,-33.8747985,151.2069074
IAU-022189-1,AUS,-33.9161314,151.2252686
IAU-022191-1,AUS,-37.8190694,144.9591985
IAU-022195-1,AUS,-33.896278,151.19578
IAU-022196-1,AUS,-34.9282331,138.6039198
IAU-022198-1,AUS,-33.8826909,151.2168284
IAU-026025-1,AUS,-37.815753,144.96071
IAU-026044-1,AUS,-33.880681,151.205248
IAU-026999-1,AUS,-37.975611,145.2219328
IAU-027018-1,AUS,43.7824893,-79.1887005
IAU-000676-1,AUT,48.2012533,16.3651029
IAU-000867-1,AUT,46.6160474,14.2654238
IAU-001012-1,AUT,48.3112427,14.2689553
IAU-001944-1,AUT,47.089322,15.440136
IAU-003831-1,AUT,48.4081771,15.5864784
IAU-004920-1,AUT,47.828463,16.5354192
IAU-004921-1,AUT,48.1610538,14.0267157
IAU-004927-1,AUT,48.1579283,16.3823986
IAU-004931-1,AUT,48.2191981,16.4033359
IAU-004949-1,AUT,46.611256,13.8832494
IAU-004953-1,AUT,47.583807,12.1736679
IAU-004962-1,AUT,47.7233835,13.0871253
IAU-004967-1,AUT,48.2136616,15.6314419
IAU-004970-1,AUT,48.2392831,16.3773241
IAU-004972-1,AUT,47.4062189,9.7445972
IAU-004975-1,AUT,47.8389128,16.24845
IAU-006334-1,AUT,47.0690816,15.4099195
IAU-006335-1,AUT,48.2266275,16.3488923
IAU-007743-1,AUT,48.4087589,15.5888662
IAU-009957-1,AUT,48.336614,14.319305
IAU-010146-1,AUT,47.0776328,15.4495241
IAU-010179-1,AUT,48.3039167,14.2917045
IAU-010518-1,AUT,48.2048854,16.3720875
IAU-010868-1,AUT,48.2426522,16.3527884
IAU-010908-1,AUT,47.2633542,11.3838006
IAU-011328-1,AUT,47.2693557,11.39847
IAU-011526-1,AUT,47.0797409,15.4665653
IAU-011527-1,AUT,47.2596796,11.386966
IAU-011528-1,AUT,48.2196989,16.3515215
IAU-011996-1,AUT,48.2747089,16.3359302
IAU-012045-2,AUT,47.3847372,15.0930201
IAU-013380-1,AUT,47.8088985,13.0314497
IAU-013753-1,AUT,47.2836374,11.5172275
IAU-013756-1,AUT,48.1874436,15.6192813
IAU-015424-1,AUT,48.2152366,16.4051069
IAU-016251-1,AUT,47.0694191,15.4503767
IAU-016256-1,AUT,48.1986546,16.3684626
IAU-019334-1,AUT,48.208361,16.3823507
IAU-019335-1,AUT,48.2365448,16.337579
IAU-019336-1,AUT,48.3062506,14.2875581
IAU-019337-1,AUT,47.0722564,15.4499423
IAU-019338-1,AUT,48.2018433,16.3848833
IAU-019353-1,AUT,47.8038789,13.0436663
IAU-019366-1,AUT,47.7972387,13.0480985
IAU-019373-1,AUT,48.2131855,16.3600504
IAU-020865-1,AUT,48.2542856,16.4291164
IAU-021164-1,AUT,48.2141711,16.382852
IAU-021289-2,AUT,48.2134275,16.4084666
IAU-023175-1,AUT,47.258853,11.3797757
IAU-023176-1,AUT,47.8127816,16.2382889
IAU-023177-1,AUT,48.3024672,14.3076668
IAU-023178-1,AUT,48.4002908,15.5756464
IAU-023179-1,AUT,47.9030475,13.1361008
IAU-023180-1,AUT,48.4073812,15.5886778
IAU-027020-1,AUT,48.1854772,16.4194697
IAU-027021-1,AUT,47.0825759,15.4336922
IAU-027023-1,AUT,47.2722287,11.3876452
IAU-027024-1,AUT,47.0820864,15.4380101
IAU-027027-1,AUT,48.2942221,16.3809957
IAU-027028-1,AUT,48.0090299,16.2549521
IAU-027034-1,AUT,47.4067642,9.7444223
IAU-027315-1,AUT,48.0661546,16.3557613
IAU-001322-1,AZE,40.3698885,49.8131805
IAU-001323-1,AZE,40.3701006,49.8154458
IAU-001324-1,AZE,40.4097383,49.8376536
IAU-001326-1,AZE,40.4009487,49.8564499
IAU-001327-1,AZE,40.6740694,46.3506627
IAU-001328-1,AZE,40.3704359,49.843706
IAU-001329-2,AZE,40.3776018,49.8501231
IAU-001330-1,AZE,40.396605,49.8360584
IAU-001331-1,AZE,40.3797342,49.8208952
IAU-001332-1,AZE,40.3837753,49.8432014
IAU-001333-1,AZE,40.6885645,46.3867907
IAU-001337-1,AZE,40.3676432,49.8321651
IAU-001338-1,AZE,40.3955752,49.832795
IAU-001339-1,AZE,40.127718,49.9504309
IAU-001395-1,AZE,40.39714,49.80615
IAU-001397-1,AZE,40.3838997,49.8434369
IAU-001402-1,AZE,40.3773515,49.8445466
IAU-001404-1,AZE,40.3745539,49.8114651
IAU-006575-1,AZE,40.6780624,46.3601533
IAU-010328-1,AZE,40.373352,49.8333129
IAU-010841-1,AZE,38.7543588,48.8512589
IAU-011713-1,AZE,40.7715556,47.0556943
IAU-012318-1,AZE,39.2253137,45.4033481
IAU-012319-1,AZE,39.2027546,45.4093535
IAU-012401-1,AZE,40.4531952,50.0675043
IAU-012990-1,AZE,40.3977378,49.8580253
IAU-013813-1,AZE,40.4761209,49.7265498
IAU-013814-1,AZE,40.3644567,49.8308306
IAU-016371-1,AZE,40.3656955,49.8294451
IAU-023276-1,AZE,40.5742618,49.6767502
